gemeente,CDA,CU,D66,Evangelische Partij Nederland,GL,Heel NL,Lijst 17,Nieuw Nederland,PVV,Partij TTn,PVDA,Partij voor Mens en Spirit (MenS),Partij voor de Dieren,Piratenpartij,SP,SGP,TROTS OP NEDERLAND LIJST RITA VERDONK,VVD,Partij
's-Gravenhage,18710.0,4429.0,28075.0,,22687.0,,252.0,77.0,43725.0,94.0,63042.0,740.0,4901.0,399.0,18234.0,1054.0,1240.0,59925.0,PVDA
's-Hertogenbosch,8228.0,620.0,6761.0,,6364.0,16.0,65.0,9.0,14356.0,21.0,15401.0,265.0,1053.0,110.0,10209.0,51.0,549.0,16720.0,VVD
Aa en Hunze,1259.0,254.0,1040.0,,1159.0,,5.0,7.0,1608.0,5.0,4744.0,46.0,201.0,14.0,1491.0,19.0,64.0,4057.0,PVDA
Aalburg,1553.0,820.0,162.0,,152.0,,4.0,3.0,1224.0,,491.0,10.0,60.0,2.0,423.0,1575.0,33.0,1136.0,SGP
Aalsmeer,2738.0,613.0,1169.0,,807.0,,14.0,6.0,2499.0,1.0,2170.0,28.0,212.0,12.0,967.0,81.0,105.0,6024.0,VVD
Aalten,4329.0,754.0,704.0,5.0,725.0,3.0,15.0,9.0,1868.0,2.0,2700.0,39.0,149.0,1.0,2193.0,53.0,74.0,2478.0,CDA
Abcoude,718.0,105.0,580.0,,420.0,2.0,4.0,,498.0,1.0,937.0,11.0,56.0,7.0,241.0,35.0,20.0,1789.0,VVD
Achtkarspelen,4185.0,1700.0,367.0,13.0,511.0,,8.0,3.0,2290.0,1.0,3257.0,28.0,132.0,7.0,1559.0,180.0,49.0,1577.0,CDA
Alblasserdam,1381.0,1041.0,396.0,,372.0,,5.0,,1557.0,2.0,1929.0,15.0,102.0,5.0,827.0,1511.0,43.0,1733.0,PVDA
Albrandswaard,1662.0,366.0,879.0,,624.0,2.0,12.0,3.0,2909.0,3.0,1838.0,26.0,209.0,7.0,1206.0,175.0,88.0,4193.0,VVD
Alkmaar,4605.0,782.0,4451.0,9.0,5321.0,14.0,50.0,17.0,6993.0,13.0,13400.0,229.0,1011.0,69.0,6250.0,56.0,402.0,10172.0,PVDA
Almelo,5441.0,1269.0,2128.0,,1759.0,5.0,14.0,8.0,7001.0,9.0,8379.0,117.0,336.0,53.0,3984.0,97.0,261.0,6306.0,PVDA
Almere,4850.0,1947.0,5990.0,78.0,6120.0,,81.0,19.0,16641.0,32.0,22295.0,296.0,1505.0,158.0,8857.0,118.0,770.0,24377.0,VVD
Alphen aan den Rijn,5165.0,1752.0,3286.0,,2749.0,7.0,42.0,15.0,5773.0,10.0,7198.0,105.0,546.0,38.0,3588.0,472.0,245.0,10889.0,VVD
Alphen-Chaam,1612.0,27.0,312.0,,240.0,1.0,8.0,1.0,896.0,,649.0,16.0,56.0,4.0,531.0,3.0,51.0,1521.0,CDA
Ameland,724.0,54.0,152.0,,196.0,,,2.0,371.0,,581.0,21.0,26.0,2.0,178.0,12.0,14.0,600.0,CDA
Amersfoort,8384.0,5016.0,7518.0,,7706.0,15.0,47.0,25.0,9527.0,17.0,17167.0,281.0,1036.0,110.0,6874.0,704.0,320.0,18222.0,VVD
Amstelveen,4200.0,753.0,4890.0,,3541.0,,44.0,11.0,5089.0,12.0,9637.0,164.0,709.0,48.0,2962.0,88.0,160.0,12929.0,VVD
Amsterdam,12705.0,3405.0,45613.0,123.0,48190.0,,226.0,93.0,36172.0,189.0,135816.0,917.0,6927.0,603.0,27890.0,274.0,1067.0,64798.0,PVDA
Andijk,680.0,251.0,174.0,,182.0,,1.0,1.0,612.0,1.0,514.0,16.0,66.0,3.0,364.0,56.0,29.0,891.0,VVD
Anna Paulowna,1244.0,152.0,444.0,2.0,385.0,1.0,4.0,2.0,1328.0,13.0,1286.0,20.0,95.0,6.0,762.0,12.0,74.0,2587.0,VVD
Apeldoorn,12125.0,4103.0,6605.0,19.0,5785.0,40.0,62.0,28.0,11407.0,18.0,18737.0,297.0,1271.0,87.0,8341.0,2496.0,424.0,18379.0,PVDA
Appingedam,891.0,296.0,272.0,,334.0,,2.0,,960.0,,2152.0,16.0,89.0,3.0,918.0,16.0,26.0,805.0,PVDA
Arnhem,5862.0,1626.0,7399.0,18.0,8402.0,20.0,81.0,16.0,10749.0,23.0,19393.0,254.0,1427.0,120.0,9726.0,128.0,289.0,13559.0,PVDA
Assen,3753.0,3142.0,2301.0,,2762.0,6.0,30.0,9.0,3919.0,11.0,10702.0,114.0,449.0,48.0,4320.0,192.0,147.0,6268.0,PVDA
Asten,2530.0,46.0,432.0,,410.0,3.0,14.0,1.0,1585.0,1.0,1216.0,32.0,71.0,10.0,1225.0,8.0,95.0,2010.0,CDA
Baarle-Nassau,1011.0,26.0,160.0,,152.0,,4.0,,710.0,,409.0,18.0,56.0,2.0,409.0,1.0,30.0,774.0,CDA
Baarn,1816.0,544.0,1385.0,,1110.0,5.0,6.0,5.0,1888.0,3.0,2433.0,37.0,232.0,20.0,1016.0,109.0,58.0,4115.0,VVD
Barendrecht,3036.0,1070.0,1584.0,,1432.0,4.0,15.0,6.0,4822.0,2.0,3460.0,57.0,370.0,34.0,2065.0,1112.0,143.0,7442.0,VVD
Barneveld,7477.0,3431.0,839.0,17.0,753.0,,11.0,4.0,3675.0,1.0,2166.0,37.0,154.0,18.0,1143.0,6236.0,139.0,5739.0,CDA
Bedum,1353.0,815.0,272.0,4.0,416.0,,4.0,,520.0,1.0,1517.0,10.0,77.0,3.0,646.0,64.0,27.0,702.0,PVDA
Beek,1709.0,47.0,505.0,,496.0,3.0,6.0,3.0,2905.0,1.0,1497.0,29.0,151.0,12.0,1166.0,3.0,77.0,1670.0,PVV
Beemster,708.0,41.0,375.0,,314.0,,3.0,,749.0,1.0,919.0,9.0,71.0,6.0,412.0,1.0,38.0,1778.0,VVD
Beesel,1300.0,28.0,338.0,,303.0,,2.0,1.0,2304.0,,1114.0,20.0,91.0,13.0,897.0,5.0,51.0,1258.0,PVV
Bellingwedde,391.0,124.0,180.0,1.0,303.0,,10.0,,1031.0,1.0,1618.0,21.0,105.0,1.0,876.0,18.0,22.0,817.0,PVDA
Bergambacht,865.0,452.0,294.0,,193.0,2.0,2.0,,728.0,1.0,929.0,7.0,72.0,5.0,390.0,711.0,26.0,1437.0,VVD
Bergeijk,3030.0,65.0,461.0,,372.0,3.0,9.0,1.0,1853.0,6.0,1199.0,27.0,99.0,9.0,1281.0,4.0,109.0,2112.0,CDA
Bergen,1659.0,25.0,257.0,,272.0,3.0,4.0,,1831.0,1.0,829.0,18.0,66.0,4.0,1317.0,6.0,68.0,1151.0,PVV
Bergen (1),2447.0,121.0,1612.0,2.0,1823.0,3.0,17.0,7.0,2667.0,12.0,3690.0,138.0,423.0,14.0,1400.0,12.0,123.0,5553.0,VVD
Bergen op Zoom,4350.0,310.0,2329.0,,2003.0,7.0,23.0,3.0,7224.0,8.0,6438.0,78.0,431.0,35.0,3813.0,44.0,301.0,7638.0,VVD
Berkelland,5370.0,373.0,1745.0,,1391.0,5.0,25.0,7.0,3150.0,6.0,5788.0,94.0,243.0,16.0,2858.0,34.0,152.0,5939.0,VVD
Bernheze,4046.0,67.0,935.0,,649.0,,16.0,1.0,2354.0,2.0,2111.0,46.0,137.0,14.0,2713.0,1.0,111.0,3434.0,CDA
