gemeente,VVD,PVDA,PVV,SP,CDA,D66,CU,GL,SGP,Partij voor de Dieren,50PLUS,Piratenpartij,Partij voor Mens en Spirit (MenS),SOPN,Partij van de Toekomst (PvdT),Democratisch Politiek Keerpunt DPK,Libertarische Partij (LP),Nederland Lokaal,Liberaal Democratische Partij (LibDem),Anti Europa Partij,Politieke Partij NXD,Partij
Aa en Hunze,4725,6063,990,1300,850,1170,232,344,46,290,207,29,40,20,7,19,4,3,2,1,0,PVDA
Aalburg,1778,662,834,409,856,183,851,49,1757,102,104,9,2,4,4,4,2,1,0,0,0,VVD
Aalsmeer,8058,2646,1610,727,1495,1326,633,218,134,306,354,38,24,19,22,18,5,0,3,0,0,VVD
Aalten,3485,3728,1176,1918,3059,888,710,258,93,196,263,29,26,23,9,8,3,5,3,0,0,PVDA
Achtkarspelen,2329,4622,1463,1351,2760,433,1811,133,272,165,144,32,17,17,13,10,14,3,1,2,0,PVDA
Alblasserdam,2205,2406,1070,708,923,420,1016,101,1761,158,194,28,4,4,11,5,6,1,1,3,0,PVDA
Albrandswaard,5293,2616,1931,922,1048,922,345,190,205,315,290,37,31,19,11,12,4,18,1,2,0,VVD
Alkmaar,12941,16567,4795,6181,2906,4749,687,1701,79,1497,1310,218,189,99,49,60,37,8,19,21,0,PVDA
Almelo,8054,10744,4657,4161,3739,2131,1192,529,181,538,686,106,77,74,29,50,17,12,12,11,0,PVDA
Almere,26928,27154,13132,9048,2576,6163,1749,1825,259,2258,2307,465,200,197,138,114,49,24,30,36,0,PVDA
Alphen aan den Rijn,13639,9113,3852,3035,3231,3606,1658,860,607,820,776,159,71,66,45,32,17,7,10,9,0,VVD
Alphen-Chaam,2249,923,486,547,878,383,15,82,4,83,131,8,18,7,8,6,2,2,0,3,0,VVD
Ameland,932,803,192,237,484,215,65,71,14,47,45,10,11,4,1,1,0,2,0,1,0,VVD
Amersfoort,22517,21573,6174,6861,5481,8831,5128,3083,914,1703,1320,297,196,136,55,53,56,18,16,18,0,VVD
Amstelveen,16170,10779,3214,2969,2587,5814,643,1188,152,1094,992,171,91,40,38,22,31,5,12,9,0,VVD
Amsterdam,75670,139820,23696,35899,8517,59005,3126,21079,539,12143,5241,2064,701,539,434,183,279,68,135,76,62,PVDA
Apeldoorn,24117,24302,7504,7803,7810,7407,3860,1969,2947,1773,1676,250,206,130,83,51,41,13,22,38,0,PVDA
Appingedam,991,2670,615,870,633,277,281,84,18,99,110,20,5,18,1,4,0,4,1,6,0,PVDA
Arnhem,15886,25574,7060,10342,3704,8510,1483,3231,225,2207,1273,329,226,112,72,47,39,11,22,13,0,PVDA
Assen,7434,13737,2466,3924,2825,2614,3080,872,303,624,434,93,67,82,32,25,8,10,12,9,0,PVDA
Asten,3262,1632,986,1260,1393,686,29,135,9,107,238,25,16,8,14,10,3,1,0,2,0,VVD
Baarle-Nassau,1271,580,448,394,560,206,26,54,4,71,116,11,4,4,5,2,0,0,1,1,0,VVD
Baarn,5154,2890,1127,866,1127,1570,537,427,168,314,254,52,29,21,8,8,15,1,2,5,0,VVD
Barendrecht,8910,5130,3378,1614,2055,1699,954,399,1241,559,558,56,36,28,10,19,10,7,4,4,0,VVD
Barneveld,9053,2723,2485,1169,4589,957,3488,240,7079,240,385,46,30,21,24,26,12,11,4,7,0,VVD
Bedum,1038,1887,316,600,1034,363,810,169,96,99,82,14,3,3,5,4,2,3,1,0,0,PVDA
Beek,2417,2116,1763,1227,1032,687,35,150,6,165,232,33,20,19,7,8,5,0,1,0,0,VVD
Beemster,2413,1075,410,344,439,410,27,110,11,105,73,13,7,2,5,12,1,1,0,0,0,VVD
Beesel,1785,1570,1528,964,798,401,22,103,4,105,186,19,23,9,4,8,2,2,0,2,0,VVD
Bellingwedde,995,2116,625,801,243,216,142,75,29,152,76,12,16,6,8,0,6,19,1,0,0,PVDA
Bergambacht,1977,1123,489,289,521,313,362,57,822,95,91,8,6,3,3,6,2,2,0,0,0,VVD
Bergeijk,3428,1705,1196,1388,1828,632,48,124,10,142,256,22,13,18,11,12,2,1,3,1,0,VVD
Bergen (L.),1786,1225,1151,1537,925,341,23,90,8,82,159,20,5,11,11,11,1,0,0,2,0,VVD
Bergen (NH),7091,4395,1574,1344,1481,1946,132,569,24,600,454,62,97,52,19,10,4,5,3,3,0,VVD
Bergen op Zoom,9848,8629,4968,4029,2377,2627,277,547,58,655,917,88,41,35,39,27,15,16,3,5,0,VVD
Berkelland,7649,7597,1973,2907,3709,1833,328,398,56,330,493,57,64,62,19,23,6,11,1,7,0,VVD
Bernheze,5331,2903,1433,2776,2330,1172,45,225,18,174,309,45,19,16,14,16,6,0,1,1,0,VVD
Bernisse,2639,1412,1077,553,721,380,250,95,94,126,166,25,16,3,11,4,0,3,0,1,0,VVD
Best,5098,3353,1578,2008,1515,1217,267,236,28,226,682,51,16,24,16,10,5,5,3,1,0,VVD
Beuningen,4373,3722,1554,2153,1111,1092,91,232,22,229,310,44,17,13,6,8,10,3,2,2,0,VVD
Beverwijk,5592,5543,2754,2007,1196,1434,185,459,38,552,662,95,50,42,22,32,15,9,4,8,0,VVD
Binnenmaas,5548,3591,2043,1204,1643,928,805,208,1119,358,276,36,29,16,14,18,7,2,2,4,0,VVD
Bladel,3518,1936,1148,1676,1499,675,38,144,3,133,312,25,18,19,17,8,2,6,4,1,0,VVD
Blaricum,2819,986,351,317,382,557,66,70,23,116,120,7,9,15,4,2,1,1,3,1,0,VVD
Bloemendaal,6616,2329,574,505,1088,2023,147,383,31,316,192,29,32,17,6,1,4,0,1,2,0,VVD
Boarnsterhim,3020,4674,620,980,1086,771,170,174,34,150,128,23,41,13,6,8,7,5,1,2,0,PVDA
Bodegraven-Reeuwijk,7163,2721,1627,850,2386,1245,1256,346,1600,273,298,44,26,15,12,21,7,4,2,9,0,VVD
Boekel,1713,829,539,949,891,324,17,60,3,74,132,14,8,5,12,1,3,3,1,0,0,VVD
Bonaire,448,514,70,121,415,247,111,44,9,59,50,0,0,0,0,4,7,13,0,37,0,PVDA
Borger-Odoorn,3694,5589,1381,1571,1317,765,571,248,90,268,231,47,48,48,16,14,3,3,0,6,0,PVDA
Borne,3255,3156,1031,1345,2433,978,159,189,17,114,193,34,33,18,4,16,3,4,0,0,0,VVD
Borsele,3114,2509,1240,1112,1502,616,396,198,2113,210,168,25,24,17,13,9,5,8,6,0,0,VVD
Boskoop,3278,1486,791,478,977,659,442,167,357,159,156,22,23,17,13,12,2,3,6,5,0,VVD
Boxmeer,4385,2647,1260,5674,2156,1014,77,231,15,159,230,30,18,34,9,6,10,0,2,2,0,SP
Boxtel,4422,4137,1535,2682,1531,1444,100,357,15,246,406,61,26,15,20,4,5,4,2,1,0,VVD
Breda,29766,23102,8790,10992,6311,10524,627,2315,136,1780,1841,411,251,133,76,60,39,13,26,9,0,VVD
Brielle,3418,1894,1343,904,615,624,114,133,34,199,234,22,13,15,15,7,3,2,2,5,0,VVD
Bronckhorst,7029,5711,1584,2065,3304,1606,414,370,192,331,308,29,58,28,13,10,4,2,4,1,0,VVD
Brummen,3525,3892,1146,1172,954,951,169,252,40,221,208,26,34,12,7,9,6,1,3,3,0,PVDA
Brunssum,2410,3820,3784,2669,1070,679,194,201,18,324,371,40,40,41,18,18,5,6,3,4,0,PVDA
Bunnik,2931,1980,539,516,1052,1084,207,472,133,166,173,22,21,6,9,5,3,0,1,0,0,VVD
Bunschoten,3364,772,934,300,1772,203,3399,38,887,72,102,14,12,4,11,12,1,0,1,2,0,CU
Buren,5559,3183,1948,901,1046,1016,360,209,780,277,275,34,13,13,21,5,5,1,1,2,0,VVD
Bussum,7555,3836,1177,1020,1142,2460,285,494,78,504,317,69,43,23,10,11,7,5,6,1,0,VVD
Capelle aan den IJssel,9279,8248,4693,2786,1778,2277,1400,484,1940,875,890,116,80,49,23,28,15,9,8,6,0,VVD
Castricum,7729,5232,1417,1739,1986,2190,166,660,32,506,408,70,67,21,16,18,6,58,2,2,0,VVD
Coevorden,5860,6681,1879,1813,2463,1091,476,294,127,268,298,39,40,33,18,14,7,1,4,4,0,PVDA
Cranendonck,3559,2093,1550,1656,1409,691,38,127,17,147,320,37,12,17,15,13,2,3,2,0,0,VVD
Cromstrijen,2642,1653,873,507,636,453,249,84,497,168,142,11,10,2,10,4,6,0,2,3,0,VVD
Cuijk,3478,3015,1238,3139,1379,939,40,222,6,161,227,34,19,10,15,11,8,3,2,0,0,VVD
Culemborg,4308,4157,1662,1274,995,1353,341,631,161,332,297,52,47,7,17,8,4,6,3,1,0,VVD
Dalfsen,4513,3315,968,1216,3361,916,1667,225,406,157,218,27,17,15,17,9,7,5,1,3,0,VVD
Dantumadiel,1350,3112,972,1099,2163,278,1188,94,669,113,95,21,11,6,8,4,2,0,1,2,0,PVDA
De Bilt,8799,5398,1713,1704,1988,3163,822,975,827,598,472,71,68,27,14,8,8,4,1,3,0,VVD
De Marne,1095,1939,465,751,753,281,470,190,65,159,88,13,11,7,4,5,1,2,0,7,0,PVDA
De Ronde Venen,11677,3866,2134,1136,2371,2151,744,479,387,388,499,67,46,24,20,22,10,6,6,5,0,VVD
De Wolden,5138,3473,1038,899,1994,973,483,273,127,234,162,30,34,23,7,15,8,4,2,1,0,VVD
Delft,11941,14692,5088,4555,2994,8353,1459,2402,320,1322,995,384,114,62,34,27,37,12,8,10,0,PVDA
Delfzijl,2479,5214,1420,1677,1235,508,723,156,65,258,260,58,14,18,9,7,8,3,2,4,0,PVDA
Den Helder,9202,6515,4319,2752,1987,1601,1014,381,233,736,1021,120,62,57,41,40,9,19,5,11,0,VVD
Deurne,5773,3148,1920,2721,2320,1070,61,204,19,180,368,43,32,21,14,12,16,1,3,0,0,VVD
Deventer,11759,18761,4177,5537,3850,5314,1285,1822,148,1032,856,186,112,66,40,42,18,9,16,14,0,PVDA
Diemen,3520,4027,1316,1224,511,1229,159,447,14,352,341,60,19,20,17,17,10,3,4,3,0,PVDA
Dinkelland,5193,2540,1294,1198,4195,883,90,133,26,125,273,22,19,36,3,14,3,25,0,1,0,VVD
Dirksland,1151,745,566,322,426,113,351,33,1131,56,73,12,10,5,7,7,0,0,1,2,0,VVD
Doesburg,1385,2109,656,1047,493,507,114,135,22,127,92,22,15,8,8,4,5,1,2,4,0,PVDA
Doetinchem,7719,10212,2913,3676,2796,2440,606,642,337,528,434,76,58,38,18,20,4,8,4,9,0,PVDA
Dongen,4232,3355,1496,1826,1348,1054,157,172,38,218,302,24,20,6,18,18,6,5,4,2,0,VVD
Dongeradeel,2156,3687,1036,1441,3244,588,1209,173,206,183,142,24,33,12,12,15,7,1,3,3,0,PVDA
Dordrecht,14095,16452,7788,5992,3817,4144,2800,1418,1967,1576,1364,203,104,79,48,49,34,4,18,15,0,PVDA
Drechterland,4448,2134,994,841,1163,775,78,217,17,210,447,43,17,27,16,18,1,4,3,2,0,VVD
Drimmelen,5014,3091,1820,1790,1359,1093,95,229,29,243,422,44,32,24,18,10,3,0,2,3,0,VVD
Dronten,8302,3939,2133,1565,2633,1366,1469,369,289,320,429,52,55,65,12,24,5,5,3,8,0,VVD
Druten,3099,2543,1065,1418,839,718,42,120,9,140,199,18,8,9,9,5,0,1,2,1,0,VVD
Duiven,4445,3825,1412,1624,1268,1087,204,265,29,194,313,24,25,12,14,9,2,4,3,1,0,VVD
Echt-Susteren,3819,3508,4111,2483,2470,958,98,271,10,364,381,57,58,26,12,22,10,1,6,3,0,PVV
Edam-Volendam,7270,1877,2826,686,2359,667,79,216,29,225,381,36,37,43,6,19,13,6,5,3,0,VVD
Ede,17603,10068,4827,3354,7190,4003,6258,1237,8055,882,974,131,86,75,53,33,16,5,6,8,0,VVD
Eemnes,2140,1004,463,349,460,445,134,79,52,122,99,22,3,4,3,4,4,1,1,0,0,VVD
Eemsmond,1560,3256,601,1212,1134,347,920,195,135,188,135,25,21,8,7,8,9,3,2,2,0,PVDA
Eersel,3557,1859,915,1349,1665,861,46,170,12,137,272,17,21,11,6,18,7,2,4,1,0,VVD
