,gemeente,VVD,CDA,PVV,D66,SP,GL,PVDA,CU,50PLUS,Partij voor de Dieren,SGP,Forum voor Democratie,DENK,VNL (VoorNederland),Piratenpartij,NIEUWE WEGEN,OndernemersPartij,Artikel 1,Lokaal in de Kamer,Niet Stemmers,De Burger Beweging,GeenPeil,Vrijzinnige Partij,JEZUS LEEFT,Libertarische Partij (LP),MenS en Spirit / Basisinkomen Partij / V-R,StemNL,Vrije Democratische Partij (VDP),Partij
0,Appingedam,889,1033,1095,605,1431,559,673,317,270,161,24,98,85,19,13.0,10,13,6.0,16.0,6.0,6.0,0.0,0.0,,1.0,,,,SP
1,Bedum,854,1446,503,682,885,664,546,828,138,186,97,85,0,12,20.0,6,9,0.0,10.0,4.0,5.0,1.0,0.0,,0.0,,,,CDA
2,Bellingwedde,821,555,1123,402,1069,411,551,163,223,271,16,119,1,9,24.0,12,11,1.0,6.0,3.0,3.0,1.0,1.0,,1.0,,,,PVV
3,De Marne,864,1105,828,457,902,574,542,521,172,269,81,97,1,21,14.0,7,14,0.0,1.0,4.0,0.0,1.0,2.0,,1.0,,,,CDA
4,Delfzijl,1975,2080,2401,1190,2540,1028,1322,797,723,345,86,235,268,58,55.0,14,19,9.0,13.0,13.0,8.0,8.0,3.0,,4.0,,,,SP
5,Eemsmond,1259,1731,1124,738,1667,763,960,1018,272,316,140,122,1,32,26.0,9,13,5.0,10.0,10.0,4.0,5.0,0.0,,1.0,,,,CDA
6,Groningen,17696,8621,8723,25973,14152,24642,10438,5757,2181,6737,453,2220,501,280,953.0,137,133,210.0,81.0,119.0,82.0,72.0,45.0,,33.0,,,,D66
7,Grootegast,1063,2052,867,497,781,413,342,809,185,132,175,144,1,28,20.0,9,16,0.0,5.0,7.0,4.0,1.0,3.0,,0.0,,,,CDA
8,Haren,2946,1526,656,2301,854,1863,1165,766,241,564,75,196,8,26,34.0,20,14,7.0,17.0,6.0,2.0,15.0,8.0,,3.0,,,,VVD
9,Hoogezand-Sappemeer,2832,1788,3050,1713,3753,1808,1907,820,900,576,73,300,497,66,65.0,26,27,13.0,36.0,15.0,11.0,9.0,5.0,,3.0,,,,SP
