Perioden	Regio's	Verkeer en vervoer/Motorvoertuigen/Personenauto's (aantal)	Verkeer en vervoer/Motorvoertuigen/Personenauto's. relatief (per 1 000 inwoners)	Verkeer en vervoer/Motorvoertuigen/Personenauto's particulieren (aantal)	Verkeer en vervoer/Motorvoertuigen/Personenauto's particulieren. relatief (per 1 000 inwoners)	Verkeer en vervoer/Motorvoertuigen/Bedrijfsmotorvoertuigen (aantal)	Verkeer en vervoer/Motorvoertuigen/Motorfietsen (aantal)	Verkeer en vervoer/Motorvoertuigen/Motorfietsen. relatief (per 1 000 inwoners)	Verkeer en vervoer/Motorvoertuigen/Voertuigen met bromfietskenteken (aantal)	Verkeer en vervoer/Motorvoertuigen/Voertuigen met bromfietskenteken (%) (per 1 000 inwoners)	Verkeer en vervoer/Lengte van wegen/Totale weglengte (kilometer)	Verkeer en vervoer/Lengte van wegen/Gemeentelijke en waterschapswegen (kilometer)	Verkeer en vervoer/Lengte van wegen/Provinciale wegen (kilometer)	Verkeer en vervoer/Lengte van wegen/Rijkswegen (kilometer)	Nabijheid voorzieningen/Gezondheid/Afstand tot huisartsenpraktijk (km)	Nabijheid voorzieningen/Gezondheid/Aantal huisartsenpraktijken binnen 3 km (aantal)	Nabijheid voorzieningen/Gezondheid/Afstand tot huisartsenpost (km)	Nabijheid voorzieningen/Gezondheid/Afstand tot ziekenhuis (km)	Nabijheid voorzieningen/Gezondheid/Aantal ziekenhuizen binnen 20 km (aantal)	Nabijheid voorzieningen/Kinderopvang/Afstand tot kinderdagverblijf (km)	Nabijheid voorzieningen/Kinderopvang/Aantal kinderdagverblijven binnen 3 km (aantal)	Nabijheid voorzieningen/Onderwijs/Afstand tot school basisonderwijs (km)	Nabijheid voorzieningen/Onderwijs/Aantal basisonderwijsscholen binnen 3 km (aantal)	Nabijheid voorzieningen/Onderwijs/Afstand tot school vmbo (km)	Nabijheid voorzieningen/Onderwijs/Aantal scholen vmbo binnen 5 km (aantal)	Nabijheid voorzieningen/Onderwijs/Afstand tot school havo/vwo (km)	Nabijheid voorzieningen/Onderwijs/Aantal scholen havo/vwo binnen 5 km (aantal)	Nabijheid voorzieningen/Detailhandel/Afstand tot grote supermarkt (km)	Nabijheid voorzieningen/Detailhandel/Aantal grote supermarkten binnen 3 km (aantal)	Nabijheid voorzieningen/Horeca/Afstand tot restaurant (km)	Nabijheid voorzieningen/Horeca/Aantal restaurants binnen 3 km (aantal)	Nabijheid voorzieningen/Vrije tijd en cultuur/Afstand tot bibliotheek (km)	Nabijheid voorzieningen/Vrije tijd en cultuur/Afstand tot bioscoop (km)	Nabijheid voorzieningen/Vrije tijd en cultuur/Aantal bioscopen binnen 10 km (aantal)	Nabijheid voorzieningen/Vrije tijd en cultuur/Afstand tot zwembad (km)	Nabijheid voorzieningen/Vrije tijd en cultuur/Afstand tot sportterrein (km)	Nabijheid voorzieningen/Groenvoorzieningen/Afstand tot openbaar groen (km)	Nabijheid voorzieningen/Verkeer en vervoer/Afstand tot oprit hoofdverkeersweg (km)	Nabijheid voorzieningen/Verkeer en vervoer/Afstand tot treinstation (km)	Milieu en bodemgebruik/Afval van huishoudens/Totaal huishoudelijk afval (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Huishoudelijk restafval (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Grof huishoudelijk restafval (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Gft-afval (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Oud papier en karton (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Verpakkingsglas (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Textiel (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Klein chemisch afval (1 000 kg)	Milieu en bodemgebruik/Afval van huishoudens/Overig huishoudelijk afval (1 000 kg)	Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Totale oppervlakte (km²)	Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Land (km²)	Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Water/Water totaal (km²)	Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Water/Binnenwater (km²)	Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Water/Buitenwater (km²)	Milieu en bodemgebruik/Bodemgebruik/Omgevingsadressendichtheid (per km²)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Verkeersterrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Bebouwd terrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Semi-bebouwd terrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Recreatieterrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Agrarisch terrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Oppervlakte/Bos en open natuurlijk terrein (ha)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Verkeersterrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Bebouwd terrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Semi-bebouwd terrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Recreatieterrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Agrarisch terrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Percentages/Bos en open natuurlijk terrein (in % oppervlakte land)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Verkeersterrein (ha / 1 000 inwoners)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Bebouwd terrein (ha / 1 000 inwoners)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Semi-bebouwd terrein (ha / 1 000 inwoners)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Recreatieterrein (ha / 1 000 inwoners)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Agrarisch terrein (ha / 1 000 inwoners)	Milieu en bodemgebruik/Bodemgebruik/Naar functie/Per inwoner/Bos en open natuurlijk terrein (ha / 1 000 inwoners)
2007	Aa en Hunze	12474	488	12254	479	2038	1477	58	837	33	619	538	54	26	2.3	1.5	10.7	11	1.6	2.3	1.5	1	2	5.7	0.4	9.2	0.1					2.5						1.6	13.4	17903	5619	753	4964	1750	600	118	30	4069	278.86	276.74	2.12	2.12	0	262																		
2008	Aa en Hunze	12855	502	12591	492	2076	1525	60	924	36	620	540	54	26	2.3	1.5	10.8	11	1.6			1	2	5.7	0.4	9.2	0.1	1.5	1.5	1.3	4.1	2.5	10.9	0.4	9.7	1	0.7	1.6	13.4	19038	7009	523	5683	2001	523	119	27	3153	278.86	276.74	2.12	2.12	0	264	581	900	139	533	19257	6224	2.1	3.3	0.5	1.9	69.7	22.5	23	35	5	21	752	243
2009	Aa en Hunze	13035	508	12760	497	2065	1552	60	1063	41	627	544	57	26	2.3	1.4		11	1.6	2.1	1.2	1	2	5.7	0.4	9.2	0.1	1.5	1.5	1.3	4	2.5	11	0.4	9.7			1.6	13.5	18559	6812	455	5874	1942	498	112	106	2759	278.86	276.38	2.48	2.48	0	265																		
2010	Aa en Hunze	13172	515	12894	504	2039	1587	62	1189	47	625	542	57	26	2.4	1.4		11	1.4	1.9	1.1	1	2	5.7	0.4	9.2	0.1	1.5	1.5	1	3.8		11	0.4	9.6	1	0.6	1.6	13.5	17438	6447	430	5308	1926	577		31	2585	278.86	276.38	2.48	2.48	0	266	606	910	162	531	19127	6289	2.2	3.3	0.6	1.9	69.2	22.8	24	36	6	21	748	246
2007	Aalburg	5779	470	5421	441	1375	443	36	807	66	153	139	13	0	1.3	1.2	5	11.6	3.1	2.1	0.7	0.7	2.5	3.1	1	9.5	0					2.7						1.5	15.7	7336	2447	396	1961	1193	208	46	21	1064	53.13	50.4	2.73	2.73	0	306																		
2008	Aalburg	5960	481	5606	453	1428	454	37	814	66	153	140	13	0	1.3	1.2	4.9	11.6	3.1			0.7	2.5	3.1	1	9.5	0	1	2.5	1.5	1.4	2.7	12.1	0.1	10.8	1.4	2	1.5	15.7	7312	2500	345	2000	1026	210	56	25	1150	53.13	50.4	2.73	2.73	0	321	163	295	20	42	4381	139	3.2	5.9	0.4	0.8	86.9	2.8	13	24	2	3	354	11
2009	Aalburg	6132	488	5762	459	1472	464	37	846	67	154	140	14	0	1.3	1.2		11.6	3.1	1.9	0.7	0.7	2.5	3.1	1	3.1	0.8	1	2.5	1.5	1.5	2.7	12.1	0.1	10.8			1.5	15.7	7282	2637	258	2130	1038	218	61	24	916	53.13	50.4	2.73	2.73	0	334																		
2010	Aalburg	6242	495	5881	466	1511	471	37	907	72	154	141	14	0	1.2	1.2		11.7	3.1	1.8	0.7	0.7	2.5	3.1	0.9	3.1	0.7	1	2.4	1.6	1.6		12.1	0.1	10.4	1.2	2.6	1.5	15.7										53.13	50.4	2.73	2.73	0	337	160	303	20	42	4383	131	3.2	6	0.4	0.8	87	2.6	13	24	2	3	348	10
2007	Aalsmeer	12491	499	10916	436	1944	1012	40	1597	64	136	128	8	0	0.9	3.7	9.8	9.8	10	1	3.2	0.7	4.4	2.3	2.2	6.1	0.3					1.7						1.2	8	14754	5398	979	2971	1730	621	108	55	2892	32.24	20.58	11.66	11.66	0	674																		
2008	Aalsmeer	13098	496	11541	437	1982	1091	41	1883	71	130	122	8	0	0.9	3.7	9.7	9.7	10.1			0.7	4.5	2.4	2.3	6	0.3	0.8	2.8	0.7	10.5	1.7	8.9	0.8	2	0.9	0.9	1.1	8.1	15550	5585	1080	3070	2032	665	110	56	2952	32.24	20.58	11.66	11.66	0	727	86	608	96	173	940	142	4.2	29.7	4.7	8.5	46	6.9	3	23	4	7	36	5
2009	Aalsmeer	13809	493	12296	439	2073	1186	42	2263	81	130	124	7	0	0.8	4		9.7	10.1	0.9	3.5	0.7	4.4	2.4	2.3	6	0.3	0.8	2.8	0.7	11.4	1.2	8.9	0.8	2.7			1.1	8.1	15318	5626	898	3065	1916	674	117	50	2972	32.24	20.49	11.75	11.75	0	755																		
2010	Aalsmeer	14333	491	12900	442	2112	1268	43	2504	86	138	130	7	0	0.8	3.9		9.6	10.1	0.8	5	0.7	4.4	2.5	2.3	6.2	0.4	0.8	3.4	0.6	11.6		8.9	0.8	2.8	1.1	1.3	1.1	8.2	15851	5691	743	3069	1991	708	102	54	3493	32.24	20.49	11.75	11.75	0	800	84	657	104	166	890	140	4.1	32.2	5.1	8.1	43.6	6.9	3	23	4	6	30	5
2007	Aalten	12670	460	11673	423	1854	1183	43	990	36	445	414	31	0	1.3	3.1	14.3	14.3	0.9	1.6	1.3	0.8	4.8	1.9	1	4.6	0.6					1.6						0.9	4.4	13323	4565	274	2012	3931	691	112	23	1715	97.09	96.57	0.51	0.51	0	711																		
2008	Aalten	12412	450	11834	429	1685	1199	43	1034	38	445	414	31	0	1.3	3.2	14.4	14.3	0.9			0.8	4.8	1.9	1	4.6	0.6	1.2	2.6	1	6.4	1.6	14.4	0.1	4.8	1.1	0.7	0.9	4.4	12222	4692	403	2006	2334	701	201		1850	97.09	96.57	0.51	0.51	0	717	309	640	47	147	8095	418	3.2	6.6	0.5	1.5	83.8	4.3	11	23	2	5	294	15
2009	Aalten	12620	460	12071	440	1693	1256	46	1081	39	447	416	31	0	1.2	3.2		14.3	0.9	1.5	1.8	0.8	4.9	1.9	1	4.6	0.6	1.2	2.6	1	6.4	1.6	14.4	0.1	4.9			0.9	4.4	12412	4260	380	1947	2297	507	332	12	2677	97.09	96.57	0.52	0.52	0	720																		
2010	Aalten	12751	464	12218	444	1773	1296	47	1104	40	446	415	31	0	1.2	3.2		14.3	0.9	1.5	1.8	0.8	4.9	1.9	1	4.6	0.6	1.2	2.6	1	7		14.4	0.1	4.8	1	0.6	0.9	4.4	11339	4153	381	1666	2114	658	98	22		97.09	96.57	0.52	0.52	0	727	312	645	45	154	8084	417	3.2	6.7	0.5	1.6	83.7	4.3	11	23	2	6	294	15
2007	Ter Aar																																																																							
2008	Ter Aar																																																																							
2009	Ter Aar																																																																							
2010	Ter Aar																																																																							
2007	Aarle-Rixtel																																																																							
2008	Aarle-Rixtel																																																																							
2009	Aarle-Rixtel																																																																							
2010	Aarle-Rixtel																																																																							
