"Category","Series 1"
"Christen Democratisch Appèl (CDA)",4329
"Partij van de Arbeid (P.v.d.A.)",2700
"VVD",2478
"SP (Socialistische Partij)",2193
"PVV (Partij voor de Vrijheid)",1868
"ChristenUnie",754
"GROENLINKS",725
"Democraten 66 (D66)",704
"Partij voor de Dieren",149
"TROTS OP NEDERLAND LIJST RITA VERDONK",74
"Staatkundig Gereformeerde Partij (SGP)",53
"Partij voor Mens en Spirit (MenS)",39
"Lijst 17",15
"Nieuw Nederland",9
"Evangelische Partij Nederland",5
"Heel NL",3
"Partij TTn",2
"Piratenpartij",1
