"Category","Series 1"
"Christen Democratisch Appèl (CDA)",4185
"Partij van de Arbeid (P.v.d.A.)",3257
"PVV (Partij voor de Vrijheid)",2290
"ChristenUnie",1700
"VVD",1577
"SP (Socialistische Partij)",1559
"GROENLINKS",511
"Democraten 66 (D66)",367
"Staatkundig Gereformeerde Partij (SGP)",180
"Partij voor de Dieren",132
"TROTS OP NEDERLAND LIJST RITA VERDONK",49
"Partij voor Mens en Spirit (MenS)",28
"Evangelische Partij Nederland",13
"Lijst 17",8
"Piratenpartij",7
"Nieuw Nederland",3
"Partij TTn",1
