"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",13400
"VVD",10172
"PVV (Partij voor de Vrijheid)",6993
"SP (Socialistische Partij)",6250
"GROENLINKS",5321
"Christen Democratisch Appèl (CDA)",4605
"Democraten 66 (D66)",4451
"Partij voor de Dieren",1011
"ChristenUnie",782
"TROTS OP NEDERLAND LIJST RITA VERDONK",402
"Partij voor Mens en Spirit (MenS)",229
"Piratenpartij",69
"Staatkundig Gereformeerde Partij (SGP)",56
"Lijst 17",50
"Nieuw Nederland",17
"Heel NL",14
"Partij TTn",13
"Evangelische Partij Nederland",9
