"Category","Series 1"
"VVD",24377
"Partij van de Arbeid (P.v.d.A.)",22295
"PVV (Partij voor de Vrijheid)",16641
"SP (Socialistische Partij)",8857
"GROENLINKS",6120
"Democraten 66 (D66)",5990
"Christen Democratisch Appèl (CDA)",4850
"ChristenUnie",1947
"Partij voor de Dieren",1505
"TROTS OP NEDERLAND LIJST RITA VERDONK",770
"Partij voor Mens en Spirit (MenS)",296
"Piratenpartij",158
"Staatkundig Gereformeerde Partij (SGP)",118
"Lijst 17",81
"Evangelische Partij Nederland",78
"Partij TTn",32
"Nieuw Nederland",19
