"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",135816
"VVD",64798
"GROENLINKS",48190
"Democraten 66 (D66)",45613
"PVV (Partij voor de Vrijheid)",36172
"SP (Socialistische Partij)",27890
"Christen Democratisch Appèl (CDA)",12705
"Partij voor de Dieren",6927
"ChristenUnie",3405
"TROTS OP NEDERLAND LIJST RITA VERDONK",1067
"Partij voor Mens en Spirit (MenS)",917
"Piratenpartij",603
"Staatkundig Gereformeerde Partij (SGP)",274
"Lijst 17",226
"Partij TTn",189
"Evangelische Partij Nederland",123
"Nieuw Nederland",93
