"Category","Series 1"
"VVD",2587
"PVV (Partij voor de Vrijheid)",1328
"Partij van de Arbeid (P.v.d.A.)",1286
"Christen Democratisch Appèl (CDA)",1244
"SP (Socialistische Partij)",762
"Democraten 66 (D66)",444
"GROENLINKS",385
"ChristenUnie",152
"Partij voor de Dieren",95
"TROTS OP NEDERLAND LIJST RITA VERDONK",74
"Partij voor Mens en Spirit (MenS)",20
"Partij TTn",13
"Staatkundig Gereformeerde Partij (SGP)",12
"Piratenpartij",6
"Lijst 17",4
"Evangelische Partij Nederland",2
"Nieuw Nederland",2
"Heel NL",1
