"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",18737
"VVD",18379
"Christen Democratisch Appèl (CDA)",12125
"PVV (Partij voor de Vrijheid)",11407
"SP (Socialistische Partij)",8341
"Democraten 66 (D66)",6605
"GROENLINKS",5785
"ChristenUnie",4103
"Staatkundig Gereformeerde Partij (SGP)",2496
"Partij voor de Dieren",1271
"TROTS OP NEDERLAND LIJST RITA VERDONK",424
"Partij voor Mens en Spirit (MenS)",297
"Piratenpartij",87
"Lijst 17",62
"Heel NL",40
"Nieuw Nederland",28
"Evangelische Partij Nederland",19
"Partij TTn",18
