"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",19393
"VVD",13559
"PVV (Partij voor de Vrijheid)",10749
"SP (Socialistische Partij)",9726
"GROENLINKS",8402
"Democraten 66 (D66)",7399
"Christen Democratisch Appèl (CDA)",5862
"ChristenUnie",1626
"Partij voor de Dieren",1427
"TROTS OP NEDERLAND LIJST RITA VERDONK",289
"Partij voor Mens en Spirit (MenS)",254
"Staatkundig Gereformeerde Partij (SGP)",128
"Piratenpartij",120
"Lijst 17",81
"Partij TTn",23
"Heel NL",20
"Evangelische Partij Nederland",18
"Nieuw Nederland",16
