"Category","Series 1"
"Christen Democratisch Appèl (CDA)",7477
"Staatkundig Gereformeerde Partij (SGP)",6236
"VVD",5739
"PVV (Partij voor de Vrijheid)",3675
"ChristenUnie",3431
"Partij van de Arbeid (P.v.d.A.)",2166
"SP (Socialistische Partij)",1143
"Democraten 66 (D66)",839
"GROENLINKS",753
"Partij voor de Dieren",154
"TROTS OP NEDERLAND LIJST RITA VERDONK",139
"Partij voor Mens en Spirit (MenS)",37
"Piratenpartij",18
"Evangelische Partij Nederland",17
"Lijst 17",11
"Nieuw Nederland",4
"Partij TTn",1
