"Category","Series 1"
"VVD",5553
"Partij van de Arbeid (P.v.d.A.)",3690
"PVV (Partij voor de Vrijheid)",2667
"Christen Democratisch Appèl (CDA)",2447
"GROENLINKS",1823
"Democraten 66 (D66)",1612
"SP (Socialistische Partij)",1400
"Partij voor de Dieren",423
"Partij voor Mens en Spirit (MenS)",138
"TROTS OP NEDERLAND LIJST RITA VERDONK",123
"ChristenUnie",121
"Lijst 17",17
"Piratenpartij",14
"Partij TTn",12
"Staatkundig Gereformeerde Partij (SGP)",12
"Nieuw Nederland",7
"Heel NL",3
"Evangelische Partij Nederland",2
