"Category","Series 1"
"Christen Democratisch Appèl (CDA)",5388
"VVD",5304
"Partij van de Arbeid (P.v.d.A.)",4352
"PVV (Partij voor de Vrijheid)",2658
"SP (Socialistische Partij)",2018
"Democraten 66 (D66)",1306
"GROENLINKS",1104
"ChristenUnie",432
"Partij voor de Dieren",230
"Staatkundig Gereformeerde Partij (SGP)",142
"TROTS OP NEDERLAND LIJST RITA VERDONK",130
"Partij voor Mens en Spirit (MenS)",77
"Lijst 17",20
"Piratenpartij",11
"Heel NL",5
"Partij TTn",3
"Evangelische Partij Nederland",2
"Nieuw Nederland",2
