"Category","Series 1"
"VVD",5806
"Partij van de Arbeid (P.v.d.A.)",4293
"Christen Democratisch Appèl (CDA)",3167
"PVV (Partij voor de Vrijheid)",2491
"Democraten 66 (D66)",1964
"GROENLINKS",1944
"SP (Socialistische Partij)",1787
"Partij voor de Dieren",294
"ChristenUnie",202
"TROTS OP NEDERLAND LIJST RITA VERDONK",132
"Partij voor Mens en Spirit (MenS)",108
"Lijst 17",20
"Staatkundig Gereformeerde Partij (SGP)",18
"Piratenpartij",14
"Evangelische Partij Nederland",6
"Partij TTn",4
"Heel NL",1
"Nieuw Nederland",1
