"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",4072
"PVV (Partij voor de Vrijheid)",2302
"VVD",2018
"SP (Socialistische Partij)",1855
"Christen Democratisch Appèl (CDA)",1774
"ChristenUnie",864
"GROENLINKS",642
"Democraten 66 (D66)",556
"Partij voor de Dieren",201
"TROTS OP NEDERLAND LIJST RITA VERDONK",75
"Staatkundig Gereformeerde Partij (SGP)",45
"Partij voor Mens en Spirit (MenS)",25
"Piratenpartij",15
"Evangelische Partij Nederland",9
"Lijst 17",7
"Nieuw Nederland",3
"Partij TTn",2
