"Category","Series 1"
"VVD",6949
"PVV (Partij voor de Vrijheid)",6755
"Partij van de Arbeid (P.v.d.A.)",5518
"SP (Socialistische Partij)",3116
"Christen Democratisch Appèl (CDA)",3054
"GROENLINKS",1666
"Democraten 66 (D66)",1568
"ChristenUnie",962
"Partij voor de Dieren",475
"TROTS OP NEDERLAND LIJST RITA VERDONK",407
"Staatkundig Gereformeerde Partij (SGP)",161
"Partij voor Mens en Spirit (MenS)",80
"Piratenpartij",45
"Lijst 17",27
"Evangelische Partij Nederland",17
"Partij TTn",10
"Heel NL",4
"Nieuw Nederland",3
