"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",1435
"VVD",1154
"SP (Socialistische Partij)",1078
"PVV (Partij voor de Vrijheid)",984
"Christen Democratisch Appèl (CDA)",735
"Democraten 66 (D66)",508
"GROENLINKS",412
"ChristenUnie",111
"Partij voor de Dieren",94
"TROTS OP NEDERLAND LIJST RITA VERDONK",26
"Partij voor Mens en Spirit (MenS)",19
"Staatkundig Gereformeerde Partij (SGP)",16
"Piratenpartij",9
"Lijst 17",3
"Evangelische Partij Nederland",2
"Nieuw Nederland",2
"Heel NL",1
"Partij TTn",1
