"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",7381
"VVD",5857
"Christen Democratisch Appèl (CDA)",4817
"PVV (Partij voor de Vrijheid)",4625
"SP (Socialistische Partij)",3955
"GROENLINKS",2006
"Democraten 66 (D66)",1973
"ChristenUnie",600
"Partij voor de Dieren",353
"Staatkundig Gereformeerde Partij (SGP)",291
"TROTS OP NEDERLAND LIJST RITA VERDONK",142
"Partij voor Mens en Spirit (MenS)",112
"Piratenpartij",24
"Lijst 17",14
"Nieuw Nederland",11
"Heel NL",8
"Evangelische Partij Nederland",3
"Partij TTn",3
