"Category","Series 1"
"VVD",3461
"Christen Democratisch Appèl (CDA)",1893
"Partij van de Arbeid (P.v.d.A.)",1673
"PVV (Partij voor de Vrijheid)",1659
"SP (Socialistische Partij)",1039
"Democraten 66 (D66)",708
"GROENLINKS",644
"Partij voor de Dieren",147
"TROTS OP NEDERLAND LIJST RITA VERDONK",106
"ChristenUnie",82
"Partij voor Mens en Spirit (MenS)",35
"Staatkundig Gereformeerde Partij (SGP)",9
"Lijst 17",7
"Piratenpartij",7
"Nieuw Nederland",4
"Evangelische Partij Nederland",3
"Partij TTn",3
"Heel NL",2
