"Category","Series 1"
"VVD",6346
"Christen Democratisch Appèl (CDA)",4082
"PVV (Partij voor de Vrijheid)",3054
"Partij van de Arbeid (P.v.d.A.)",2979
"SP (Socialistische Partij)",1698
"ChristenUnie",1436
"Democraten 66 (D66)",1207
"GROENLINKS",1117
"Partij voor de Dieren",203
"Staatkundig Gereformeerde Partij (SGP)",192
"TROTS OP NEDERLAND LIJST RITA VERDONK",150
"Partij voor Mens en Spirit (MenS)",71
"Piratenpartij",20
"Lijst 17",18
"Evangelische Partij Nederland",8
"Partij TTn",6
"Nieuw Nederland",4
