"Category","Series 1"
"VVD",12390
"Christen Democratisch Appèl (CDA)",11418
"Partij van de Arbeid (P.v.d.A.)",8143
"PVV (Partij voor de Vrijheid)",8005
"Staatkundig Gereformeerde Partij (SGP)",6832
"ChristenUnie",6427
"SP (Socialistische Partij)",3511
"Democraten 66 (D66)",3251
"GROENLINKS",3071
"Partij voor de Dieren",595
"TROTS OP NEDERLAND LIJST RITA VERDONK",257
"Partij voor Mens en Spirit (MenS)",128
"Nieuw Nederland",85
"Lijst 17",51
"Piratenpartij",51
"Evangelische Partij Nederland",16
"Heel NL",13
"Partij TTn",7
