"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",2256
"VVD",2201
"PVV (Partij voor de Vrijheid)",1603
"SP (Socialistische Partij)",1312
"Christen Democratisch Appèl (CDA)",1148
"GROENLINKS",718
"Democraten 66 (D66)",659
"ChristenUnie",221
"Partij voor de Dieren",185
"Staatkundig Gereformeerde Partij (SGP)",130
"TROTS OP NEDERLAND LIJST RITA VERDONK",54
"Partij voor Mens en Spirit (MenS)",40
"Piratenpartij",14
"Lijst 17",5
"Nieuw Nederland",4
"Partij TTn",4
"Evangelische Partij Nederland",1
