"Category","Series 1"
"VVD",4411
"Partij van de Arbeid (P.v.d.A.)",3951
"Christen Democratisch Appèl (CDA)",3337
"PVV (Partij voor de Vrijheid)",2632
"SP (Socialistische Partij)",1474
"Democraten 66 (D66)",1071
"ChristenUnie",1021
"GROENLINKS",882
"Staatkundig Gereformeerde Partij (SGP)",640
"Partij voor de Dieren",233
"TROTS OP NEDERLAND LIJST RITA VERDONK",119
"Partij voor Mens en Spirit (MenS)",57
"Lijst 17",17
"Evangelische Partij Nederland",5
"Nieuw Nederland",5
"Piratenpartij",5
"Heel NL",3
