"Category","Series 1"
"Christen Democratisch Appèl (CDA)",3840
"VVD",3125
"ChristenUnie",1853
"Partij van de Arbeid (P.v.d.A.)",1782
"PVV (Partij voor de Vrijheid)",1753
"SP (Socialistische Partij)",1048
"Staatkundig Gereformeerde Partij (SGP)",895
"GROENLINKS",743
"Democraten 66 (D66)",740
"Partij voor de Dieren",166
"TROTS OP NEDERLAND LIJST RITA VERDONK",55
"Partij voor Mens en Spirit (MenS)",43
"Evangelische Partij Nederland",20
"Lijst 17",11
"Piratenpartij",10
"Nieuw Nederland",8
"Partij TTn",2
"Heel NL",1
