"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",33124
"VVD",17693
"GROENLINKS",14558
"SP (Socialistische Partij)",13319
"Democraten 66 (D66)",12480
"PVV (Partij voor de Vrijheid)",8534
"Christen Democratisch Appèl (CDA)",7330
"ChristenUnie",4990
"Partij voor de Dieren",1877
"Partij voor Mens en Spirit (MenS)",345
"Staatkundig Gereformeerde Partij (SGP)",318
"TROTS OP NEDERLAND LIJST RITA VERDONK",254
"Piratenpartij",238
"Lijst 17",125
"Evangelische Partij Nederland",54
"Partij TTn",32
"Nieuw Nederland",16
