"Category","Series 1"
"VVD",5669
"Christen Democratisch Appèl (CDA)",5085
"Partij van de Arbeid (P.v.d.A.)",3612
"PVV (Partij voor de Vrijheid)",3148
"ChristenUnie",2651
"SP (Socialistische Partij)",1654
"Democraten 66 (D66)",1320
"GROENLINKS",1310
"Staatkundig Gereformeerde Partij (SGP)",520
"Partij voor de Dieren",289
"TROTS OP NEDERLAND LIJST RITA VERDONK",101
"Partij voor Mens en Spirit (MenS)",70
"Piratenpartij",35
"Lijst 17",16
"Evangelische Partij Nederland",14
"Heel NL",9
"Nieuw Nederland",8
"Partij TTn",3
