"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",1550
"Christen Democratisch Appèl (CDA)",1375
"ChristenUnie",1255
"VVD",1154
"PVV (Partij voor de Vrijheid)",655
"SP (Socialistische Partij)",482
"Democraten 66 (D66)",405
"GROENLINKS",315
"Staatkundig Gereformeerde Partij (SGP)",131
"Partij voor de Dieren",49
"TROTS OP NEDERLAND LIJST RITA VERDONK",31
"Partij voor Mens en Spirit (MenS)",21
"Piratenpartij",6
"Lijst 17",4
"Heel NL",3
"Evangelische Partij Nederland",2
"Nieuw Nederland",1
"Partij TTn",1
