"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",7589
"VVD",4647
"Christen Democratisch Appèl (CDA)",2958
"SP (Socialistische Partij)",2819
"PVV (Partij voor de Vrijheid)",2652
"GROENLINKS",1667
"Democraten 66 (D66)",1523
"ChristenUnie",848
"Partij voor de Dieren",275
"TROTS OP NEDERLAND LIJST RITA VERDONK",84
"Partij voor Mens en Spirit (MenS)",81
"Staatkundig Gereformeerde Partij (SGP)",71
"Piratenpartij",30
"Lijst 17",20
"Evangelische Partij Nederland",6
"Partij TTn",5
"Nieuw Nederland",3
