"Category","Series 1"
"VVD",7075
"Partij van de Arbeid (P.v.d.A.)",5287
"PVV (Partij voor de Vrijheid)",4051
"Christen Democratisch Appèl (CDA)",3254
"SP (Socialistische Partij)",3130
"Democraten 66 (D66)",1858
"GROENLINKS",1844
"ChristenUnie",522
"Partij voor de Dieren",361
"TROTS OP NEDERLAND LIJST RITA VERDONK",248
"Partij voor Mens en Spirit (MenS)",105
"Piratenpartij",42
"Lijst 17",30
"Staatkundig Gereformeerde Partij (SGP)",22
"Heel NL",7
"Partij TTn",6
"Evangelische Partij Nederland",5
"Nieuw Nederland",5
