"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",5796
"PVV (Partij voor de Vrijheid)",2855
"VVD",2706
"SP (Socialistische Partij)",2472
"Christen Democratisch Appèl (CDA)",1355
"GROENLINKS",1221
"Democraten 66 (D66)",879
"ChristenUnie",774
"Partij voor de Dieren",294
"TROTS OP NEDERLAND LIJST RITA VERDONK",99
"Staatkundig Gereformeerde Partij (SGP)",58
"Partij voor Mens en Spirit (MenS)",32
"Piratenpartij",23
"Lijst 17",21
"Evangelische Partij Nederland",6
"Nieuw Nederland",6
"Partij TTn",5
