"Category","Series 1"
"VVD",9128
"Partij van de Arbeid (P.v.d.A.)",8718
"PVV (Partij voor de Vrijheid)",5768
"SP (Socialistische Partij)",4470
"Christen Democratisch Appèl (CDA)",3511
"GROENLINKS",2896
"Democraten 66 (D66)",2830
"Partij voor de Dieren",641
"ChristenUnie",509
"TROTS OP NEDERLAND LIJST RITA VERDONK",231
"Partij voor Mens en Spirit (MenS)",131
"Piratenpartij",57
"Staatkundig Gereformeerde Partij (SGP)",55
"Lijst 17",47
"Evangelische Partij Nederland",12
"Nieuw Nederland",8
"Partij TTn",7
"Heel NL",5
