"Category","Series 1"
"VVD",4367
"Partij van de Arbeid (P.v.d.A.)",2536
"Christen Democratisch Appèl (CDA)",2343
"PVV (Partij voor de Vrijheid)",2156
"SP (Socialistische Partij)",1395
"GROENLINKS",1203
"Democraten 66 (D66)",1188
"ChristenUnie",403
"Partij voor de Dieren",215
"TROTS OP NEDERLAND LIJST RITA VERDONK",143
"Partij voor Mens en Spirit (MenS)",50
"Staatkundig Gereformeerde Partij (SGP)",35
"Piratenpartij",21
"Lijst 17",9
"Partij TTn",5
"Evangelische Partij Nederland",4
"Nieuw Nederland",2
"Heel NL",1
