"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",16764
"VVD",7556
"SP (Socialistische Partij)",7048
"PVV (Partij voor de Vrijheid)",6420
"Christen Democratisch Appèl (CDA)",5266
"GROENLINKS",4737
"Democraten 66 (D66)",3400
"ChristenUnie",1991
"Partij voor de Dieren",849
"TROTS OP NEDERLAND LIJST RITA VERDONK",179
"Partij voor Mens en Spirit (MenS)",164
"Staatkundig Gereformeerde Partij (SGP)",128
"Piratenpartij",83
"Lijst 17",67
"Evangelische Partij Nederland",21
"Partij TTn",13
"Nieuw Nederland",6
