"Category","Series 1"
"VVD",9099
"Partij van de Arbeid (P.v.d.A.)",7986
"PVV (Partij voor de Vrijheid)",7426
"SP (Socialistische Partij)",3912
"Christen Democratisch Appèl (CDA)",2807
"GROENLINKS",2379
"Democraten 66 (D66)",2003
"ChristenUnie",1436
"Partij voor de Dieren",669
"TROTS OP NEDERLAND LIJST RITA VERDONK",308
"Staatkundig Gereformeerde Partij (SGP)",194
"Partij voor Mens en Spirit (MenS)",150
"Piratenpartij",66
"Lijst 17",31
"Evangelische Partij Nederland",14
"Nieuw Nederland",12
"Partij TTn",5
