"Category","Series 1"
"VVD",4106
"Christen Democratisch Appèl (CDA)",2593
"PVV (Partij voor de Vrijheid)",2576
"Partij van de Arbeid (P.v.d.A.)",2417
"SP (Socialistische Partij)",1454
"Democraten 66 (D66)",989
"GROENLINKS",883
"ChristenUnie",309
"Partij voor de Dieren",236
"TROTS OP NEDERLAND LIJST RITA VERDONK",150
"Staatkundig Gereformeerde Partij (SGP)",89
"Partij voor Mens en Spirit (MenS)",49
"Lijst 17",17
"Piratenpartij",16
"Heel NL",8
"Partij TTn",5
"Nieuw Nederland",3
"Evangelische Partij Nederland",1
