"Category","Series 1"
"Christen Democratisch Appèl (CDA)",4379
"PVV (Partij voor de Vrijheid)",3867
"VVD",3671
"Partij van de Arbeid (P.v.d.A.)",3661
"SP (Socialistische Partij)",2341
"Democraten 66 (D66)",905
"GROENLINKS",845
"Partij voor de Dieren",195
"TROTS OP NEDERLAND LIJST RITA VERDONK",122
"ChristenUnie",120
"Partij voor Mens en Spirit (MenS)",49
"Piratenpartij",14
"Lijst 17",12
"Heel NL",7
"Staatkundig Gereformeerde Partij (SGP)",7
"Partij TTn",6
"Nieuw Nederland",2
"Evangelische Partij Nederland",1
