"Category","Series 1"
"VVD",5186
"Christen Democratisch Appèl (CDA)",5127
"PVV (Partij voor de Vrijheid)",3210
"Partij van de Arbeid (P.v.d.A.)",2635
"ChristenUnie",2234
"Staatkundig Gereformeerde Partij (SGP)",1423
"SP (Socialistische Partij)",1386
"Democraten 66 (D66)",1068
"GROENLINKS",903
"Partij voor de Dieren",175
"TROTS OP NEDERLAND LIJST RITA VERDONK",103
"Partij voor Mens en Spirit (MenS)",68
"Piratenpartij",16
"Lijst 17",8
"Evangelische Partij Nederland",6
"Heel NL",6
"Nieuw Nederland",5
"Partij TTn",1
