"Category","Series 1"
"Christen Democratisch Appèl (CDA)",5677
"VVD",5630
"Partij van de Arbeid (P.v.d.A.)",3761
"PVV (Partij voor de Vrijheid)",3107
"ChristenUnie",2222
"SP (Socialistische Partij)",1983
"Democraten 66 (D66)",1130
"GROENLINKS",1116
"Staatkundig Gereformeerde Partij (SGP)",716
"Partij voor de Dieren",229
"TROTS OP NEDERLAND LIJST RITA VERDONK",147
"Partij voor Mens en Spirit (MenS)",86
"Evangelische Partij Nederland",29
"Lijst 17",20
"Piratenpartij",15
"Nieuw Nederland",5
"Partij TTn",3
