"Category","Series 1"
"Staatkundig Gereformeerde Partij (SGP)",3552
"Christen Democratisch Appèl (CDA)",3340
"VVD",2577
"ChristenUnie",2310
"PVV (Partij voor de Vrijheid)",1898
"Partij van de Arbeid (P.v.d.A.)",1281
"SP (Socialistische Partij)",698
"Democraten 66 (D66)",425
"GROENLINKS",372
"Partij voor de Dieren",123
"TROTS OP NEDERLAND LIJST RITA VERDONK",57
"Partij voor Mens en Spirit (MenS)",24
"Evangelische Partij Nederland",12
"Lijst 17",8
"Piratenpartij",7
"Heel NL",2
"Nieuw Nederland",2
"Partij TTn",1
