"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",6778
"PVV (Partij voor de Vrijheid)",3692
"SP (Socialistische Partij)",3478
"VVD",2899
"Christen Democratisch Appèl (CDA)",1966
"GROENLINKS",1283
"ChristenUnie",844
"Democraten 66 (D66)",789
"Partij voor de Dieren",378
"TROTS OP NEDERLAND LIJST RITA VERDONK",89
"Partij voor Mens en Spirit (MenS)",48
"Staatkundig Gereformeerde Partij (SGP)",47
"Lijst 17",28
"Piratenpartij",26
"Evangelische Partij Nederland",6
"Nieuw Nederland",2
"Partij TTn",2
