"Category","Series 1"
"Christen Democratisch Appèl (CDA)",4802
"VVD",3943
"Partij van de Arbeid (P.v.d.A.)",2773
"PVV (Partij voor de Vrijheid)",2050
"SP (Socialistische Partij)",2015
"Democraten 66 (D66)",975
"GROENLINKS",734
"ChristenUnie",132
"Partij voor de Dieren",103
"Partij voor Mens en Spirit (MenS)",71
"TROTS OP NEDERLAND LIJST RITA VERDONK",64
"Staatkundig Gereformeerde Partij (SGP)",20
"Piratenpartij",11
"Lijst 17",9
"Heel NL",5
"Nieuw Nederland",3
"Partij TTn",3
"Evangelische Partij Nederland",2
