"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",4026
"VVD",2496
"Christen Democratisch Appèl (CDA)",2352
"PVV (Partij voor de Vrijheid)",2008
"SP (Socialistische Partij)",1779
"GROENLINKS",963
"Democraten 66 (D66)",639
"ChristenUnie",596
"Partij voor de Dieren",211
"TROTS OP NEDERLAND LIJST RITA VERDONK",89
"Staatkundig Gereformeerde Partij (SGP)",75
"Partij voor Mens en Spirit (MenS)",69
"Piratenpartij",18
"Lijst 17",7
"Nieuw Nederland",4
"Evangelische Partij Nederland",3
"Partij TTn",2
