"Category","Series 1"
"VVD",1719
"Christen Democratisch Appèl (CDA)",1422
"PVV (Partij voor de Vrijheid)",942
"Partij van de Arbeid (P.v.d.A.)",941
"SP (Socialistische Partij)",621
"Democraten 66 (D66)",387
"GROENLINKS",349
"Partij voor de Dieren",86
"TROTS OP NEDERLAND LIJST RITA VERDONK",77
"ChristenUnie",41
"Partij voor Mens en Spirit (MenS)",34
"Lijst 17",9
"Piratenpartij",9
"Nieuw Nederland",4
"Staatkundig Gereformeerde Partij (SGP)",4
"Heel NL",3
"Partij TTn",3
"Evangelische Partij Nederland",2
