"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",4754
"VVD",2746
"Christen Democratisch Appèl (CDA)",2704
"SP (Socialistische Partij)",1994
"PVV (Partij voor de Vrijheid)",1631
"ChristenUnie",1356
"GROENLINKS",1143
"Democraten 66 (D66)",776
"Partij voor de Dieren",156
"Staatkundig Gereformeerde Partij (SGP)",137
"Partij voor Mens en Spirit (MenS)",93
"TROTS OP NEDERLAND LIJST RITA VERDONK",67
"Piratenpartij",14
"Lijst 17",10
"Evangelische Partij Nederland",9
"Nieuw Nederland",4
"Partij TTn",2
