"Category","Series 1"
"Christen Democratisch Appèl (CDA)",5108
"Partij van de Arbeid (P.v.d.A.)",4393
"VVD",4032
"PVV (Partij voor de Vrijheid)",3445
"SP (Socialistische Partij)",2914
"Democraten 66 (D66)",1259
"GROENLINKS",1034
"ChristenUnie",329
"Partij voor de Dieren",213
"TROTS OP NEDERLAND LIJST RITA VERDONK",107
"Partij voor Mens en Spirit (MenS)",58
"Staatkundig Gereformeerde Partij (SGP)",28
"Lijst 17",16
"Piratenpartij",15
"Heel NL",8
"Nieuw Nederland",8
"Partij TTn",6
"Evangelische Partij Nederland",2
