"Category","Series 1"
"VVD",5877
"Christen Democratisch Appèl (CDA)",4391
"Partij van de Arbeid (P.v.d.A.)",4314
"PVV (Partij voor de Vrijheid)",3769
"SP (Socialistische Partij)",2601
"Democraten 66 (D66)",1977
"GROENLINKS",1554
"ChristenUnie",746
"Staatkundig Gereformeerde Partij (SGP)",475
"Partij voor de Dieren",265
"TROTS OP NEDERLAND LIJST RITA VERDONK",122
"Partij voor Mens en Spirit (MenS)",55
"Lijst 17",18
"Piratenpartij",16
"Heel NL",7
"Evangelische Partij Nederland",4
"Nieuw Nederland",3
"Partij TTn",2
