"Category","Series 1"
"VVD",10757
"Partij van de Arbeid (P.v.d.A.)",9438
"PVV (Partij voor de Vrijheid)",8879
"SP (Socialistische Partij)",4634
"Christen Democratisch Appèl (CDA)",2776
"Democraten 66 (D66)",2484
"GROENLINKS",2472
"Partij voor de Dieren",649
"ChristenUnie",453
"TROTS OP NEDERLAND LIJST RITA VERDONK",365
"Partij voor Mens en Spirit (MenS)",112
"Piratenpartij",73
"Staatkundig Gereformeerde Partij (SGP)",46
"Lijst 17",39
"Evangelische Partij Nederland",17
"Partij TTn",9
"Nieuw Nederland",6
"Heel NL",2
