"Category","Series 1"
"Christen Democratisch Appèl (CDA)",3809
"VVD",2882
"ChristenUnie",1889
"PVV (Partij voor de Vrijheid)",1835
"Staatkundig Gereformeerde Partij (SGP)",1271
"Partij van de Arbeid (P.v.d.A.)",1165
"SP (Socialistische Partij)",638
"Democraten 66 (D66)",452
"GROENLINKS",420
"Partij voor de Dieren",112
"TROTS OP NEDERLAND LIJST RITA VERDONK",74
"Partij voor Mens en Spirit (MenS)",26
"Piratenpartij",10
"Lijst 17",9
"Evangelische Partij Nederland",3
"Nieuw Nederland",3
"Heel NL",2
"Partij TTn",1
