"Category","Series 1"
"VVD",4608
"Partij van de Arbeid (P.v.d.A.)",4176
"Christen Democratisch Appèl (CDA)",2663
"Democraten 66 (D66)",2022
"PVV (Partij voor de Vrijheid)",1986
"GROENLINKS",1695
"SP (Socialistische Partij)",1593
"ChristenUnie",411
"Partij voor de Dieren",299
"Partij voor Mens en Spirit (MenS)",92
"Staatkundig Gereformeerde Partij (SGP)",91
"TROTS OP NEDERLAND LIJST RITA VERDONK",63
"Piratenpartij",25
"Lijst 17",9
"Nieuw Nederland",5
"Partij TTn",5
"Heel NL",4
"Evangelische Partij Nederland",3
