"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",6244
"VVD",5180
"PVV (Partij voor de Vrijheid)",3448
"Christen Democratisch Appèl (CDA)",3058
"SP (Socialistische Partij)",3029
"GROENLINKS",2111
"Democraten 66 (D66)",2082
"ChristenUnie",606
"Partij voor de Dieren",423
"TROTS OP NEDERLAND LIJST RITA VERDONK",99
"Partij voor Mens en Spirit (MenS)",98
"Staatkundig Gereformeerde Partij (SGP)",70
"Lijst 17",23
"Piratenpartij",22
"Evangelische Partij Nederland",13
"Heel NL",11
"Partij TTn",6
"Nieuw Nederland",2
