"Category","Series 1"
"PVV (Partij voor de Vrijheid)",1404
"Partij van de Arbeid (P.v.d.A.)",1141
"Christen Democratisch Appèl (CDA)",1041
"VVD",982
"SP (Socialistische Partij)",819
"GROENLINKS",283
"Democraten 66 (D66)",267
"Partij voor de Dieren",58
"ChristenUnie",39
"Partij voor Mens en Spirit (MenS)",33
"TROTS OP NEDERLAND LIJST RITA VERDONK",32
"Piratenpartij",4
"Evangelische Partij Nederland",2
"Lijst 17",2
"Nieuw Nederland",2
"Heel NL",1
"Partij TTn",1
"Staatkundig Gereformeerde Partij (SGP)",1
