"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",73682
"PVV (Partij voor de Vrijheid)",53912
"VVD",48920
"SP (Socialistische Partij)",26654
"Democraten 66 (D66)",22351
"GROENLINKS",21745
"Christen Democratisch Appèl (CDA)",17726
"ChristenUnie",6145
"Partij voor de Dieren",4961
"Staatkundig Gereformeerde Partij (SGP)",1906
"TROTS OP NEDERLAND LIJST RITA VERDONK",1155
"Partij voor Mens en Spirit (MenS)",538
"Piratenpartij",404
"Lijst 17",169
"Partij TTn",94
"Evangelische Partij Nederland",54
"Nieuw Nederland",52
"Heel NL",41
