"Category","Series 1"
"VVD",2917
"Partij van de Arbeid (P.v.d.A.)",2489
"PVV (Partij voor de Vrijheid)",1462
"SP (Socialistische Partij)",1208
"Christen Democratisch Appèl (CDA)",1145
"Democraten 66 (D66)",797
"GROENLINKS",711
"Partij voor de Dieren",171
"ChristenUnie",119
"TROTS OP NEDERLAND LIJST RITA VERDONK",72
"Partij voor Mens en Spirit (MenS)",37
"Partij TTn",14
"Piratenpartij",12
"Lijst 17",10
"Staatkundig Gereformeerde Partij (SGP)",10
"Heel NL",4
"Nieuw Nederland",3
"Evangelische Partij Nederland",2
