"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",8478
"Christen Democratisch Appèl (CDA)",5466
"VVD",4092
"SP (Socialistische Partij)",3796
"PVV (Partij voor de Vrijheid)",3498
"ChristenUnie",3025
"GROENLINKS",1864
"Democraten 66 (D66)",1377
"Partij voor de Dieren",272
"Staatkundig Gereformeerde Partij (SGP)",259
"Partij voor Mens en Spirit (MenS)",123
"TROTS OP NEDERLAND LIJST RITA VERDONK",90
"Piratenpartij",28
"Evangelische Partij Nederland",25
"Lijst 17",17
"Nieuw Nederland",8
"Partij TTn",1
