"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",4710
"Christen Democratisch Appèl (CDA)",3248
"PVV (Partij voor de Vrijheid)",2672
"VVD",2020
"SP (Socialistische Partij)",2019
"ChristenUnie",1774
"GROENLINKS",670
"Democraten 66 (D66)",500
"Partij voor de Dieren",194
"Staatkundig Gereformeerde Partij (SGP)",123
"TROTS OP NEDERLAND LIJST RITA VERDONK",107
"Partij voor Mens en Spirit (MenS)",37
"Piratenpartij",14
"Lijst 17",9
"Evangelische Partij Nederland",3
"Nieuw Nederland",2
"Partij TTn",2
