"Category","Series 1"
"VVD",2477
"Partij van de Arbeid (P.v.d.A.)",2032
"Christen Democratisch Appèl (CDA)",1519
"PVV (Partij voor de Vrijheid)",1120
"SP (Socialistische Partij)",945
"GROENLINKS",830
"Democraten 66 (D66)",711
"ChristenUnie",216
"Partij voor de Dieren",133
"Staatkundig Gereformeerde Partij (SGP)",62
"TROTS OP NEDERLAND LIJST RITA VERDONK",41
"Partij voor Mens en Spirit (MenS)",25
"Lijst 17",8
"Piratenpartij",7
"Nieuw Nederland",4
"Evangelische Partij Nederland",3
"Heel NL",2
"Partij TTn",2
