"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",2269
"PVV (Partij voor de Vrijheid)",1841
"Christen Democratisch Appèl (CDA)",1436
"VVD",1311
"SP (Socialistische Partij)",1030
"GROENLINKS",492
"Democraten 66 (D66)",280
"ChristenUnie",279
"Partij voor de Dieren",129
"TROTS OP NEDERLAND LIJST RITA VERDONK",67
"Partij voor Mens en Spirit (MenS)",42
"Staatkundig Gereformeerde Partij (SGP)",24
"Piratenpartij",12
"Nieuw Nederland",8
"Evangelische Partij Nederland",5
"Partij TTn",4
"Lijst 17",3
