"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",4882
"GROENLINKS",3099
"Democraten 66 (D66)",3007
"VVD",2900
"Christen Democratisch Appèl (CDA)",1957
"SP (Socialistische Partij)",1602
"PVV (Partij voor de Vrijheid)",1497
"ChristenUnie",874
"Partij voor de Dieren",263
"Staatkundig Gereformeerde Partij (SGP)",228
"Partij voor Mens en Spirit (MenS)",66
"TROTS OP NEDERLAND LIJST RITA VERDONK",62
"Piratenpartij",34
"Lijst 17",24
"Nieuw Nederland",6
"Partij TTn",6
"Evangelische Partij Nederland",5
"Heel NL",4
