"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",3813
"VVD",3080
"Christen Democratisch Appèl (CDA)",2186
"PVV (Partij voor de Vrijheid)",2119
"SP (Socialistische Partij)",1667
"GROENLINKS",938
"Democraten 66 (D66)",614
"ChristenUnie",373
"Partij voor de Dieren",209
"TROTS OP NEDERLAND LIJST RITA VERDONK",89
"Partij voor Mens en Spirit (MenS)",52
"Staatkundig Gereformeerde Partij (SGP)",39
"Lijst 17",11
"Piratenpartij",9
"Nieuw Nederland",4
"Partij TTn",4
"Evangelische Partij Nederland",2
