"Category","Series 1"
"VVD",1940
"Christen Democratisch Appèl (CDA)",1308
"PVV (Partij voor de Vrijheid)",1227
"Partij van de Arbeid (P.v.d.A.)",1068
"SP (Socialistische Partij)",641
"Democraten 66 (D66)",335
"GROENLINKS",304
"ChristenUnie",257
"Partij voor de Dieren",79
"TROTS OP NEDERLAND LIJST RITA VERDONK",79
"Staatkundig Gereformeerde Partij (SGP)",39
"Partij voor Mens en Spirit (MenS)",18
"Evangelische Partij Nederland",10
"Lijst 17",6
"Piratenpartij",6
"Partij TTn",5
"Nieuw Nederland",3
"Heel NL",2
