"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",4113
"VVD",3971
"Christen Democratisch Appèl (CDA)",2274
"SP (Socialistische Partij)",2132
"PVV (Partij voor de Vrijheid)",1901
"Democraten 66 (D66)",865
"GROENLINKS",851
"ChristenUnie",322
"Partij voor de Dieren",154
"TROTS OP NEDERLAND LIJST RITA VERDONK",83
"Partij voor Mens en Spirit (MenS)",58
"Staatkundig Gereformeerde Partij (SGP)",24
"Lijst 17",14
"Nieuw Nederland",5
"Piratenpartij",5
"Heel NL",4
"Partij TTn",3
"Evangelische Partij Nederland",2
