"Category","Series 1"
"VVD",2163
"Partij van de Arbeid (P.v.d.A.)",1991
"PVV (Partij voor de Vrijheid)",1359
"SP (Socialistische Partij)",1127
"Christen Democratisch Appèl (CDA)",947
"GROENLINKS",716
"Democraten 66 (D66)",624
"ChristenUnie",143
"Partij voor de Dieren",136
"TROTS OP NEDERLAND LIJST RITA VERDONK",73
"Partij voor Mens en Spirit (MenS)",23
"Staatkundig Gereformeerde Partij (SGP)",15
"Piratenpartij",8
"Lijst 17",4
"Nieuw Nederland",3
"Heel NL",2
"Evangelische Partij Nederland",1
"Partij TTn",1
